event_id,user_id,feature,usage_date,events_count
1,1,dashboards,2025-10-21,5
2,1,dashboards,2025-10-16,6
3,1,dashboards,2025-09-15,9
4,1,automation,2025-08-16,15
5,1,api,2025-10-31,16
6,1,dashboards,2025-09-19,12
7,1,collaboration,2025-09-13,15
8,1,api,2025-10-31,24
9,1,automation,2025-10-30,12
10,1,dashboards,2025-10-19,10
11,2,automation,2025-09-10,9
12,2,collaboration,2025-08-22,19
13,2,automation,2025-09-01,1
14,2,collaboration,2025-09-02,6
15,2,api,2025-11-05,8
16,3,dashboards,2025-10-03,1
17,3,reporting,2025-08-19,22
18,3,dashboards,2025-09-25,12
19,3,collaboration,2025-11-01,11
20,3,automation,2025-11-11,3
21,3,api,2025-08-16,22
22,3,api,2025-09-17,21
23,3,reporting,2025-08-30,22
24,3,dashboards,2025-10-03,2
25,3,collaboration,2025-09-18,11
26,4,automation,2025-10-18,2
27,4,reporting,2025-10-04,2
28,4,dashboards,2025-09-05,20
29,4,api,2025-11-03,13
30,4,reporting,2025-10-23,8
31,4,api,2025-11-03,1
32,4,automation,2025-10-25,13
33,4,api,2025-10-09,21
34,4,automation,2025-10-30,10
35,4,api,2025-09-20,24
36,4,reporting,2025-08-19,20
37,4,automation,2025-09-30,22
38,5,reporting,2025-09-10,7
39,5,api,2025-09-18,13
40,5,api,2025-10-11,19
41,5,collaboration,2025-09-21,3
42,6,reporting,2025-08-28,6
43,6,api,2025-08-26,14
44,6,dashboards,2025-11-09,17
45,6,reporting,2025-09-16,22
46,6,automation,2025-08-24,22
47,6,automation,2025-09-12,17
48,6,collaboration,2025-11-04,10
49,6,api,2025-09-20,3
50,6,api,2025-10-07,5
51,7,reporting,2025-10-14,17
52,7,api,2025-10-08,19
53,7,dashboards,2025-09-05,3
54,7,dashboards,2025-09-10,4
55,7,collaboration,2025-09-21,14
56,8,api,2025-08-22,24
57,8,collaboration,2025-10-13,12
58,8,reporting,2025-09-01,3
59,8,collaboration,2025-11-12,4
60,9,automation,2025-10-22,13
61,9,dashboards,2025-11-04,14
62,9,reporting,2025-10-05,19
63,9,api,2025-08-21,15
64,9,collaboration,2025-10-12,11
65,9,automation,2025-10-18,6
66,9,dashboards,2025-08-29,9
67,9,dashboards,2025-09-20,18
68,9,dashboards,2025-11-14,13
69,9,dashboards,2025-11-13,6
70,10,api,2025-08-18,13
71,10,collaboration,2025-09-13,10
72,10,collaboration,2025-08-28,12
73,10,api,2025-10-07,3
74,10,automation,2025-10-28,1
75,10,automation,2025-10-31,1
76,10,automation,2025-11-11,7
77,10,api,2025-08-23,5
78,10,automation,2025-09-20,21
79,10,collaboration,2025-10-21,3
80,11,api,2025-10-27,16
81,11,api,2025-11-12,4
82,11,automation,2025-10-26,24
83,11,api,2025-09-13,16
84,11,dashboards,2025-09-18,19
85,11,automation,2025-10-20,10
86,11,collaboration,2025-09-25,2
87,12,dashboards,2025-11-01,21
88,12,api,2025-09-22,16
89,12,collaboration,2025-08-30,24
90,12,collaboration,2025-10-08,2
91,12,api,2025-09-24,16
92,12,collaboration,2025-08-31,24
93,12,collaboration,2025-08-20,16
94,12,automation,2025-11-07,17
95,13,api,2025-09-02,11
96,13,collaboration,2025-11-06,9
97,13,api,2025-09-15,4
98,14,collaboration,2025-08-24,12
99,14,api,2025-08-17,14
100,14,dashboards,2025-10-25,10
101,14,automation,2025-09-15,12
102,14,api,2025-10-16,17
103,14,automation,2025-08-31,22
104,14,reporting,2025-08-29,23
105,14,api,2025-10-29,10
106,14,api,2025-09-22,22
107,14,reporting,2025-09-15,6
108,15,automation,2025-10-09,23
109,15,dashboards,2025-08-21,16
110,15,automation,2025-10-23,7
111,15,automation,2025-08-29,16
112,15,dashboards,2025-09-22,16
113,15,reporting,2025-10-15,7
114,15,collaboration,2025-11-08,1
115,15,reporting,2025-10-12,12
116,15,automation,2025-10-23,17
117,15,dashboards,2025-11-06,11
118,15,api,2025-10-31,20
119,15,automation,2025-10-30,18
120,16,api,2025-10-12,11
121,16,reporting,2025-11-09,25
122,16,collaboration,2025-10-11,5
123,16,collaboration,2025-08-29,22
124,16,dashboards,2025-08-16,2
125,16,api,2025-09-17,25
126,17,dashboards,2025-08-28,20
127,17,dashboards,2025-09-04,2
128,17,collaboration,2025-11-01,6
129,17,dashboards,2025-10-19,12
130,18,reporting,2025-08-16,15
